代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
970008,华安证券汇赢增利一年持有混合C,HAZQHYZLYNCYHHC,2021-11-01,1.1120,1.1120,-0.01,-0.71,-1.26,2.56,5.40,9.84,,,9.49,11.20,2020-07-15,1,10.1576,1.50%,0.15%,1,0.15%,1,
970007,华安证券汇赢增利一年持有混合B,HAZQHYZLYNCYHHB,2021-11-01,1.1007,1.1007,-0.01,-0.72,-1.33,2.36,4.98,8.97,,,8.76,10.07,2020-07-15,1,9.2785,,0.00%,,,,
970005,安信瑞鸿中短债C,AXRHZDZC,2021-11-01,1.0680,1.0680,0.04,0.11,0.36,0.87,2.04,3.68,,,3.61,4.39,2020-05-14,1,3.6162,,0.00%,,,,
970004,安信瑞鸿中短债B,AXRHZDZB,2021-11-01,1.0726,1.0726,0.04,0.12,0.38,0.94,2.19,3.99,,,3.86,4.84,2020-05-14,1,3.9224,0.30%,0.03%,1,0.03%,1,
959991,兴证资管金麒麟领先优势一年持有混合A,XZZGJQLLXYSYNCYHHA,2021-11-01,1.5553,1.5553,0.15,0.65,1.99,-0.71,-2.17,14.01,,,-0.35,47.67,2020-04-13,1,13.4734,1.20%,0.12%,1,0.12%,1,
952320,国君资管君得盈债券C,GJZGJDYZQC,2021-11-01,1.0443,1.0443,0.25,0.35,0.77,1.52,3.58,,,,,4.17,2021-01-28,1,3.261845,,0.00%,,,,
952313,国君资管君得益三个月持有混合C,GJZGJDYSGYCYHHC,2021-10-29,1.5768,1.5768,1.16,1.16,4.16,1.59,6.63,,,,6.50,12.60,2020-11-16,1,10.689803,,0.00%,,,,
952099,国君资管君得鑫两年持有期混合C,GJZGJDXLNCYQHHC,2021-11-01,2.2193,2.2193,-0.08,-1.13,0.71,-6.78,-9.59,0.28,,,-8.30,29.69,2020-01-06,3,-3.0128,1.50%,0.15%,1,0.15%,1,
952035,国君资管君得诚混合,GJZGJDCHH,2021-11-01,1.2457,1.5847,-1.30,-2.27,-2,-3.10,-11.74,-7.81,,,-16.13,20.95,2020-03-25,1,-8.5372,1.50%,0.15%,1,0.15%,1,
952024,国君资管君得盛债券,GJZGJDSZQ,2021-11-01,1.2138,1.5688,0.44,0.48,0.90,2.73,6.52,7.53,10.27,,5.79,10.27,2019-09-25,1,5.7859,0.70%,0.07%,1,0.07%,1,
952020,国君资管君得盈债券A,GJZGJDYZQA,2021-11-01,1.0470,1.3310,0.26,0.36,0.82,1.63,3.80,,,,,4.44,2021-01-28,1,3.501247,0.40%,0.04%,1,0.04%,1,
952013,国君资管君得益三个月持有混合A,GJZGJDYSGYCYHHA,2021-10-29,1.5819,1.8699,1.16,1.18,4.20,1.70,6.86,,,,6.85,12.96,2020-11-16,1,11.025421,1.20%,0.12%,1,0.12%,1,
