代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
014162,万家人工智能混合C,WJRGZNHHC,2021-12-03,3.2313,3.2313,1.14,2.59,,,,,,,,1.58,2021-11-19,1,,,0.00%,,,,
014150,新华鑫益灵活配置混合A,XHXYLHPZHHA,2021-12-03,0.9611,0.9611,-0.48,-2.92,,,,,,,,-3.89,2021-11-09,1,,1.50%,0.15%,1,0.15%,1,
014143,银河创新成长混合C,YHCXCZHHC,2021-12-03,8.4579,8.4579,1.26,0.40,,,,,,,,-1.34,2021-11-22,1,,,0.00%,,,,
014130,融通中证云计算与大数据主题指数(LOF)C,RTZZYJSYDSJZTZSLOFC,2021-12-03,1.0980,1.0980,0.02,,,,,,,,,-0.62,2021-11-30,1,,,0.00%,,,,
014127,融通核心价值混合C,RTHXJZHHC,2021-12-02,1.0462,1.0462,-0.63,-1.29,,,,,,,,-0.74,2021-11-22,1,,,0.00%,,,,
014118,国泰中证沪港深创新药产业ETF发起联接C,GTZZHGSCXYCYETFFQLJC,2021-12-03,0.9904,0.9904,0.43,-0.94,,,,,,,,-0.96,2021-11-22,1,,,0.00%,,,,
014117,国泰中证沪港深创新药产业ETF发起联接A,GTZZHGSCXYCYETFFQLJA,2021-12-03,0.9905,0.9905,0.44,-0.93,,,,,,,,-0.95,2021-11-22,1,,1.00%,0.10%,1,0.10%,1,
014109,融通内需驱动混合C,RTNXQDHHC,2021-12-03,2.5240,2.5240,-0.08,-1.56,,,,,,,,-0.28,2021-11-12,1,,,0.00%,,,,
014106,融通成长30灵活配置混合C,RTCZ30LHPZHHC,2021-12-03,2.2780,2.2780,-0.44,-1.77,,,,,,,,-0.26,2021-11-12,1,,,0.00%,,,,
014096,交银经济新动力混合C,JYJJXDLHHC,2021-12-03,3.6479,3.6479,1.63,1.99,,,,,,,,1.48,2021-11-19,1,,,0.00%,,,,
014091,中融添益进取3个月持有混合发起(FOF)C,ZRTYJQ3GYCYHHFQFOFC,2021-12-01,1.0319,1.0319,-0.23,-0.04,,,,,,,,3.19,2021-11-11,3,,,0.00%,,,,
014090,中融添益进取3个月持有混合发起(FOF)A,ZRTYJQ3GYCYHHFQFOFA,2021-12-01,1.0321,1.0321,-0.22,-0.03,,,,,,,,3.21,2021-11-11,3,,1.20%,0.12%,1,0.12%,1,
014084,浙商汇金月享30天滚动持有中短债C,ZSHJYX30TGDCYZDZC,2021-12-03,1.0011,1.0011,,0.27,,,,,,,,0.11,2021-11-19,3,,,0.00%,,,,
014083,浙商汇金月享30天滚动持有中短债A,ZSHJYX30TGDCYZDZA,2021-12-03,1.0012,1.0012,,0.28,,,,,,,,0.12,2021-11-19,3,,0.10%,0.01%,1,0.01%,1,
014082,平安中债1-3年国开债指数C,PAZZ13NGKZZSC,2021-12-03,1,1,-0.02,0,,,,,,,,0,2021-11-26,1,,,0.00%,,,,
014081,平安中债1-3年国开债指数A,PAZZ13NGKZZSA,2021-12-03,1.0002,1.0002,0,0.02,,,,,,,,0.02,2021-11-26,1,,0.50%,0.05%,1,0.05%,1,
014080,交银启汇混合C,JYQHHHC,2021-12-03,1.2075,1.2075,,,,,,,,,,0,2021-12-03,1,,,0.00%,,,,
014052,银华港股通精选股票发起式C,YHGGTJXGPFQSC,2021-12-03,1.2433,1.2433,,,,,,,,,,0,2021-12-03,1,,,0.00%,,,,
014051,平安安盈灵活配置混合C,PAAYLHPZHHC,2021-12-03,3.0027,3.0027,0.43,0.72,5.67,,,,,,,4.53,2021-11-02,1,,,0.00%,,,,
014048,银华鑫盛灵活配置混合(LOF)C,YHXSLHPZHHLOFC,2021-12-03,2.48,2.48,0.85,1.06,,,,,,,,1.06,2021-11-26,1,,,0.00%,,,,
014047,银华盛世精选灵活配置混合发起式C,YHSSJXLHPZHHFQSC,2021-12-03,2.5651,2.5651,1.32,1.02,,,,,,,,2.90,2021-11-18,1,,,0.00%,,,,
014046,交银医药创新股票C,JYYYCXGPC,2021-12-03,3.4982,3.4982,0.32,-3.08,,,,,,,,3.71,2021-11-05,1,,,0.00%,,,,
014045,银华积极成长混合C,YHJJCZHHC,2021-12-03,2.3723,2.3723,1.29,,,,,,,,,0.76,2021-12-01,1,,,0.00%,,,,
014044,银华富利精选混合C,YHFLJXHHC,2021-12-03,0.9991,0.9991,1.37,,,,,,,,,0.77,2021-12-01,1,,,0.00%,,,,
014043,银华心怡灵活配置混合C,YHXYLHPZHHC,2021-12-03,3.5473,3.5473,1.17,1.20,,,,,,,,2.47,2021-11-10,1,,,0.00%,,,,
014042,银华心诚灵活配置混合C,YHXCLHPZHHC,2021-12-03,2.1148,2.1148,1.13,1.09,,,,,,,,1.09,2021-11-26,1,,,0.00%,,,,
014035,长城悦享增利债券C,CCYXZLZQC,2021-12-03,1.8956,1.8956,0.09,-0.20,,,,,,,,-0.76,2021-11-23,1,,,0.00%,,,,
014030,大摩健康产业混合C,DMJKCYHHC,2021-12-03,3.4120,3.4120,0.18,-4,2.65,,,,,,,-0.23,2021-10-28,1,,,0.00%,,,,
014029,浦银安盛红利精选混合C,PYASHLJXHHC,2021-12-03,4.5595,4.5595,-0.02,0.14,,,,,,,,8.35,2021-11-05,1,,,0.00%,,,,
014011,浦银安盛价值成长混合C,PYASJZCZHHC,2021-12-03,2.4302,2.4302,0.38,1.01,,,,,,,,4.71,2021-11-04,1,,,0.00%,,,,
014003,浦银安盛增长动力混合C,PYASZZDLHHC,2021-12-03,1.3489,1.3489,0.42,0.97,,,,,,,,4.35,2021-11-09,1,,,0.00%,,,,
014002,浦银安盛全球智能科技(QDII)C,PYASQQZNKJQDIIC,2021-12-02,1.6498,1.6498,1.14,-2.10,,,,,,,,-2.70,2021-11-03,1,,,0.00%,,,,
013997,广发增强债券A,GFZQZQA,2021-12-03,1.2203,1.2203,0,0.15,0.72,,,,,,,1.05,2021-10-26,1,,0.60%,0.06%,1,0.06%,1,
013963,华夏创新视野一年持有混合C,HXCXSYYNCYHHC,2021-12-03,0.9907,0.9907,0.04,-0.16,,,,,,,,-0.93,2021-11-10,3,,,0.00%,,,,
013962,华夏创新视野一年持有混合A,HXCXSYYNCYHHA,2021-12-03,0.9912,0.9912,0.05,-0.14,,,,,,,,-0.88,2021-11-10,3,,1.50%,0.15%,1,0.15%,1,
013950,交银先锋混合C,JYXFHHC,2021-12-03,2.9427,2.9427,0.81,1.27,,,,,,,,5.08,2021-11-05,1,,,0.00%,,,,
013949,交银科锐科技创新混合C,JYKRKJCXHHC,2021-12-03,1.5973,1.5973,0.71,1.73,4.62,,,,,,,4.86,2021-10-29,1,,,0.00%,,,,
013939,汇泉策略优选混合C,HQCLYXHHC,2021-12-03,1.0363,1.0363,0.89,1.06,2.70,,,,,,,4.27,2021-10-29,1,,,0.00%,,,,
013927,易米国证消费100指数增强发起C,YMGZXF100ZSZQFQC,2021-12-03,0.9994,0.9994,0,-0.01,,,,,,,,-0.06,2021-11-11,1,,,0.00%,,,,
013926,易米国证消费100指数增强发起A,YMGZXF100ZSZQFQA,2021-12-03,0.9997,0.9997,0,0,,,,,,,,-0.03,2021-11-11,1,,1.20%,0.12%,1,0.12%,1,
013921,兴华创新医疗6个月持有混合发起C,XHCXYL6GYCYHHFQC,2021-12-03,0.9972,0.9972,0.01,,,,,,,,,-0.28,2021-11-30,1,,,0.00%,,,,
013920,兴华创新医疗6个月持有混合发起A,XHCXYL6GYCYHHFQA,2021-12-03,0.9972,0.9972,0.01,,,,,,,,,-0.28,2021-11-30,1,,1.50%,0.15%,1,0.15%,1,
013919,建信中小盘先锋股票C,JXZXPXFGPC,2021-12-03,4.2460,4.2460,0.76,1.55,7.09,,,,,,,7.60,2021-10-27,1,,,0.00%,,,,
013918,申万菱信量化小盘股票(LOF)C,SWLXLHXPGPLOFC,2021-12-03,2.4446,2.4446,0.72,0.46,2.40,,,,,,,0.19,2021-10-25,1,,,0.00%,,,,
013885,交银阿尔法核心混合C,JYAEFHXHHC,2021-12-03,4.2781,4.2781,0.76,1.37,,,,,,,,3,2021-11-12,1,,,0.00%,,,,
013884,交银主题优选混合C,JYZTYXHHC,2021-12-03,2.0781,2.0781,0.43,0.03,,,,,,,,0.03,2021-11-26,1,,,0.00%,,,,
013883,交银启明混合C,JYQMHHC,2021-12-03,1.8106,1.8106,0.87,1.72,,,,,,,,2.11,2021-11-12,1,,,0.00%,,,,
013882,交银品质升级混合C,JYPZSJHHC,2021-12-03,2.2515,2.2515,1.90,0.01,4.40,,,,,,,1.62,2021-10-29,1,,,0.00%,,,,
013881,长信中证500指数增强C,CXZZ500ZSZQC,2021-12-03,1.7304,1.7304,1.06,1.94,5.22,,,,,,,6.30,2021-10-28,1,,,0.00%,,,,
013850,同泰优选配置3个月持有混合(FOF)C,TTYXPZ3GYCYHHFOFC,2021-12-02,1.0165,1.0165,-0.39,-0.09,2.07,,,,,,,1.65,2021-10-29,3,,,0.00%,,,,
013849,同泰优选配置3个月持有混合(FOF)A,TTYXPZ3GYCYHHFOFA,2021-12-02,1.0145,1.0145,-0.40,-0.09,1.86,,,,,,,1.45,2021-10-29,3,,0.60%,0.06%,1,0.06%,1,
013834,国泰中证500ETF发起联接C,GTZZ500ETFFQLJC,2021-12-03,1.0317,1.0317,0.90,1.01,3.81,,,,,,,3.17,2021-10-20,1,,,0.00%,,,,
013833,国泰中证500ETF发起联接A,GTZZ500ETFFQLJA,2021-12-03,1.0319,1.0319,0.90,1.01,3.82,,,,,,,3.19,2021-10-20,1,,1.00%,0.10%,1,0.10%,1,
013817,汇添富中证光伏产业指数增强发起式C,HTFZZGFCYZSZQFQSC,2021-12-03,0.9073,0.9073,-0.54,-1.88,-11.03,,,,,,,-9.27,2021-10-26,1,,,0.00%,,,,
013816,汇添富中证光伏产业指数增强发起式A,HTFZZGFCYZSZQFQSA,2021-12-03,0.9076,0.9076,-0.53,-1.87,-11,,,,,,,-9.24,2021-10-26,1,,1.20%,0.12%,1,0.12%,1,
013811,广发科创板50ETF发起联接C,GFKCB50ETFFQLJC,2021-12-03,1.0483,1.0483,0.98,-0.94,2.89,,,,,,,4.83,2021-10-20,1,,,0.00%,,,,
013810,广发科创板50ETF发起联接A,GFKCB50ETFFQLJA,2021-12-03,1.0487,1.0487,0.98,-0.94,2.91,,,,,,,4.87,2021-10-20,1,,1.20%,0.12%,1,0.12%,1,
013807,财通资管鸿越3个月滚动持有债券E,CTZGHY3GYGDCYZQE,2021-12-03,1.0018,1.0018,0,0.13,,,,,,,,0.18,2021-11-22,3,,,0.00%,,,,
013806,财通资管鸿越3个月滚动持有债券C,CTZGHY3GYGDCYZQC,2021-12-03,1.0021,1.0021,0,0.13,,,,,,,,0.21,2021-11-22,3,,,0.00%,,,,
013804,财通资管鸿越3个月滚动持有债券A,CTZGHY3GYGDCYZQA,2021-12-03,1.0022,1.0022,0,0.14,,,,,,,,0.22,2021-11-22,3,,0.40%,0.04%,1,0.04%,1,
013803,财通资管中证钢铁指数发起式C,CTZGZZGTZSFQSC,2021-12-03,0.9612,0.9612,-0.08,0.07,5.49,,,,,,,-3.88,2021-10-13,1,-0.22,,0.00%,,,,
013802,财通资管中证钢铁指数发起式A,CTZGZZGTZSFQSA,2021-12-03,0.9632,0.9632,-0.07,0.09,5.72,,,,,,,-3.68,2021-10-13,1,-0.22,1.00%,0.10%,1,0.10%,1,
013788,华泰柏瑞信用增利债(LOF)B,HTBRXYZLZLOFB,2021-12-03,1.2827,1.2827,0.67,1.15,2.24,,,,,,,2.81,2021-10-11,1,-0.769416,,0.00%,,,,
013785,东方红优质甄选一年持有混合C,DFHYZZXYNCYHHC,2021-12-03,1.02,1.02,0.01,0.03,-0.24,,,,,,,-0.37,2021-10-28,1,,,0.00%,,,,
013782,浙商汇金卓越配置一年持有混合(FOF)B,ZSHJZYPZYNCYHHFOFB,2021-12-02,2.6799,2.6799,-0.06,-0.24,,,,,,,,0.66,2021-11-08,1,,1.00%,0.10%,1,0.10%,1,
013754,招商稳福短债14天滚动持有债C,ZSWFDZ14TGDCYZC,2021-12-03,1.0015,1.0015,0.01,0.03,0.14,,,,,,,0.15,2021-10-27,1,,,0.00%,,,,
013753,招商稳福短债14天滚动持有债A,ZSWFDZ14TGDCYZA,2021-12-03,1.0018,1.0018,0.01,0.04,0.17,,,,,,,0.18,2021-10-27,1,,0.35%,0.035%,1,0.035%,1,
013748,兴业聚盈混合C,XYJYHHC,2021-12-03,1.4722,1.4722,0.17,0.20,1.27,,,,,,,1.84,2021-10-13,1,0.034588,,0.00%,,,,
013747,兴业聚丰混合C,XYJFHHC,2021-12-03,1.2078,1.2078,0.16,0.19,1.34,,,,,,,-2.08,2021-10-13,1,0.016215,,0.00%,,,,
013742,兴业聚源混合C,XYJYHHC,2021-12-03,1.4280,1.4280,0.19,0.25,1.24,,,,,,,-2.29,2021-10-13,1,0.041054,,0.00%,,,,
013725,信达澳银鑫益债券C,XDAYXYZQC,2021-12-03,0.9989,0.9989,0.08,0.04,-0.11,,,,,,,-0.11,2021-11-02,1,,,0.00%,,,,
013724,信达澳银鑫益债券A,XDAYXYZQA,2021-12-03,0.9992,0.9992,0.08,0.05,-0.08,,,,,,,-0.08,2021-11-02,1,,0.80%,0.08%,1,0.08%,1,
013720,新华增怡债券E,XHZYZQE,2021-12-03,1.0290,1.0290,0.33,1.22,2.15,,,,,,,2.90,2021-09-24,1,-0.15,,0.00%,,,,
013717,中融恒利纯债C,ZRHLCZC,2021-12-03,1.0004,1.0004,,0.02,,,,,,,,0.04,2021-11-11,1,,,0.00%,,,,
013716,中融恒利纯债A,ZRHLCZA,2021-12-03,1.0006,1.0006,,0.02,,,,,,,,0.06,2021-11-11,1,,0.60%,0.06%,1,0.06%,1,
013686,华安安信消费混合C,HAAXXFHHC,2021-12-03,5.0530,5.0530,0.82,-0.04,4.36,,,,,,,2.75,2021-10-18,1,,,0.00%,,,,
013677,兴银兴慧一年持有混合C,XYXHYNCYHHC,2021-12-03,1.0109,1.0109,0.09,0.22,1.04,,,,,,,1.09,2021-10-26,1,,,0.00%,,,,
013676,兴银兴慧一年持有混合A,XYXHYNCYHHA,2021-12-03,1.0110,1.0110,0.09,0.22,1.05,,,,,,,1.10,2021-10-26,1,,1.00%,0.10%,1,0.10%,1,
013655,华安策略优选混合C,HACLYXHHC,2021-12-03,2.7676,2.7676,1.33,1.16,1.56,,,,,,,-0.83,2021-10-18,1,,,0.00%,,,,
013640,光大保德信中证500指数增强C,GDBDXZZ500ZSZQC,2021-12-03,1.0022,1.0022,0.48,0.34,1.26,,,,,,,0.22,2021-09-29,1,0.08,,0.00%,,,,
013639,光大保德信中证500指数增强A,GDBDXZZ500ZSZQA,2021-12-03,1.0031,1.0031,0.48,0.35,1.32,,,,,,,0.31,2021-09-29,1,0.1,1.20%,1.20%,99,1.20%,99,
013638,华安逆向策略混合C,HANXCLHHC,2021-12-03,8.0060,8.0060,0.34,1.55,5.07,,,,,,,7.94,2021-10-18,1,,,0.00%,,,,
013623,湘财周期轮动一年持有混合,XCZQLDYNCYHH,2021-12-03,1.0334,1.0334,0.93,1.28,,,,,,,,3.34,2021-11-04,3,,1.50%,0.15%,1,0.15%,1,
013622,华安智能装备主题股票C,HAZNZBZTGPC,2021-12-03,2.7350,2.7350,0,-0.55,7.97,,,,,,,12.27,2021-10-18,1,,,0.00%,,,,
013621,华安智能生活混合C,HAZNSHHHC,2021-12-03,2.58,2.58,1.10,-0.52,3.34,,,,,,,4.64,2021-10-18,1,,,0.00%,,,,
013620,华安媒体互联网混合C,HAMTHLWHHC,2021-12-03,3.14,3.14,1.13,-0.48,3.49,,,,,,,4.42,2021-10-18,1,,,0.00%,,,,
013619,华安动态灵活配置混合C,HADTLHPZHHC,2021-12-03,5.3110,5.3110,0.64,1.18,9.32,,,,,,,13.34,2021-10-18,1,,,0.00%,,,,
013618,华安大安全主题混合C,HADAQZTHHC,2021-12-03,2.8550,2.8550,1.17,2.66,10.06,,,,,,,16.15,2021-10-18,1,,,0.00%,,,,
013613,宝盈国家安全沪港深股票C,BYGJAQHGSGPC,2021-12-03,1.8613,1.8613,0.27,1.30,9.50,,,,,,,8.04,2021-09-24,1,-4.428837,,0.00%,,,,
013606,华夏中证内地低碳经济主题ETF发起式联接C,HXZZNDDTJJZTETFFQSLJC,2021-12-03,1.0053,1.0053,-0.34,-0.51,-0.90,,,,,,,0.53,2021-10-15,1,0,,0.00%,,,,
013605,华夏中证内地低碳经济主题ETF发起式联接A,HXZZNDDTJJZTETFFQSLJA,2021-12-03,1.0057,1.0057,-0.34,-0.51,-0.88,,,,,,,0.57,2021-10-15,1,0,1.20%,0.12%,1,0.12%,1,
013602,国泰中证光伏产业ETF发起联接C,GTZZGFCYETFFQLJC,2021-12-03,0.9640,0.9640,-0.08,-0.98,-2.08,,,,,,,-3.60,2021-10-20,1,,,0.00%,,,,
013601,国泰中证光伏产业ETF发起联接A,GTZZGFCYETFFQLJA,2021-12-03,0.9643,0.9643,-0.08,-0.97,-2.06,,,,,,,-3.57,2021-10-20,1,,1.00%,0.10%,1,0.10%,1,
013597,招商中证全指证券公司指数(LOF)C,ZSZZQZZQGSZSLOFC,2021-12-03,1.2039,1.2039,0.51,1.84,3.72,,,,,,,-8.52,2021-09-13,1,-9.392097,,0.00%,,,,
013596,招商中证煤炭等权指数(LOF)C,ZSZZMTDQZSLOFC,2021-12-03,1.5048,1.5048,3.32,5.47,-2.44,,,,,,,-23.89,2021-09-13,1,-13.49383,,0.00%,,,,
013595,永赢稳健增利18个月持有混合E,YYWJZL18GYCYHHE,2021-12-03,1.0354,1.0354,-0.10,-0.05,1.19,,,,,,,-1.91,2021-09-15,3,-3.524062,,0.00%,,,,
013558,长信利富债券C,CXLFZQC,2021-12-03,1.4327,1.4327,0.45,1.04,3.97,,,,,,,3.32,2021-09-17,1,-1.600923,,0.00%,,,,
013547,财通资管鸿享30天滚动中短债C,CTZGHX30TGDZDZC,2021-12-03,1.0080,1.0080,0.01,0.05,0.28,,,,,,,0.80,2021-09-15,1,0.38,,0.00%,,,,
013546,财通资管鸿享30天滚动中短债A,CTZGHX30TGDZDZA,2021-12-03,1.0085,1.0085,0.01,0.05,0.30,,,,,,,0.85,2021-09-15,1,0.39,0.40%,0.04%,1,0.04%,1,
013533,广发科技创新混合C,GFKJCXHHC,2021-12-03,2.1490,2.1490,0.41,-2.39,1.59,,,,,,,-2.66,2021-09-10,1,-13.225836,,0.00%,,,,
013531,浙商聚潮产业成长混合C,ZSJCCYCZHHC,2021-12-03,1.8540,1.8540,1.20,1.53,1.59,,,,,,,-11.76,2021-09-10,1,-10.613993,,0.00%,,,,
013530,弘毅远方国企转型升级混合C,HYYFGQZXSJHHC,2021-12-03,1.9302,1.9302,0.31,0.81,4.02,,,,,,,2.75,2021-09-10,1,-2.097307,,0.00%,,,,
013526,信诚新兴产业混合C,XCXXCYHHC,2021-12-03,5.3832,5.3832,0.34,0.80,-4.54,-1.46,,,,,,-8.06,2021-08-31,1,-9.545361,,0.00%,,,,
013523,华富吉丰60天滚动持有中短债C,HFJF60TGDCYZDZC,2021-12-03,1.0038,1.0038,0,0.08,,,,,,,,0.38,2021-11-08,1,,,0.00%,,,,
013522,华富吉丰60天滚动持有中短债A,HFJF60TGDCYZDZA,2021-12-03,1.0040,1.0040,0.01,0.09,,,,,,,,0.40,2021-11-08,1,,0.30%,0.03%,1,0.03%,1,
013516,汇添富蓝筹稳健混合E,HTFLCWJHHE,2021-12-03,3.5740,3.5740,0.82,-0.03,0.08,3.68,,,,,,3.68,2021-09-03,1,3.626342,,0.00%,,,,
013511,汇丰晋信低碳先锋股票C,HFJXDTXFGPC,2021-12-03,4.7189,4.7189,0.58,1.82,6.27,,,,,,,-1.84,2021-09-13,1,-8.434737,,0.00%,,,,
013508,广发亚太中高收益债(QDII)C,GFYTZGSYZQDIIC,2021-12-02,1.1667,1.1667,0.08,-0.32,0.40,,,,,,,-8.81,2021-09-10,1,-9.058934,,0.00%,,,,
013507,华安制造先锋混合C,HAZZXFHHC,2021-12-03,4.6237,4.6237,0.42,0.40,9.82,,,,,,,5.74,2021-09-06,1,-7.491767,,0.00%,,,,
013506,华安研究精选混合C,HAYJJXHHC,2021-12-03,2.9965,2.9965,-0.18,-0.81,0.37,,,,,,,1.20,2021-09-06,1,-0.266793,,0.00%,,,,
013505,华安新丝路主题股票C,HAXSLZTGPC,2021-12-03,2.5350,2.5350,1.20,0.76,2.42,,,,,,,3.09,2021-09-06,1,3.497357,,0.00%,,,,
013504,华安双核驱动混合C,HASHQDHHC,2021-12-03,2.3840,2.3840,1.21,0.78,2.32,,,,,,,1.87,2021-09-06,1,2.230483,,0.00%,,,,
013501,南方品质优选灵活配置混合C,NFPZYXLHPZHHC,2021-12-03,2.28,2.28,0.04,-2.19,-5.59,,,,,,,-3.59,2021-09-07,1,-3.59408,,0.00%,,,,
013500,南方金融主题灵活配置混合C,NFJRZTLHPZHHC,2021-12-03,1.5230,1.5230,1.26,2.91,6.73,,,,,,,-0.78,2021-09-07,1,-4.299674,,0.00%,,,,
013488,长信多利混合C,CXDLHHC,2021-12-03,2.0436,2.0436,0.19,-2.69,-1.07,1.78,,,,,,1.78,2021-09-03,1,3.37185,,0.00%,,,,
013484,长城行业轮动混合C,CCHYLDHHC,2021-12-03,2.8567,2.8567,-0.03,1.43,4.10,-0.24,,,,,,-3.49,2021-09-02,1,-9.669246,,0.00%,,,,
013483,华安医疗创新混合C,HAYLCXHHC,2021-12-03,1.4019,1.4019,0.29,-3.52,0.82,,,,,,,-3.95,2021-09-06,1,1.664954,,0.00%,,,,
013478,华宝中证金融科技主题ETF发起式联接C,HBZZJRKJZTETFFQSLJC,2021-12-03,0.9991,0.9991,-0.04,-0.08,,,,,,,,-0.09,2021-11-25,1,,,0.00%,,,,
013477,华宝中证金融科技主题ETF发起式联接A,HBZZJRKJZTETFFQSLJA,2021-12-03,0.9991,0.9991,-0.05,-0.08,,,,,,,,-0.09,2021-11-25,1,,1.00%,0.10%,1,0.10%,1,
013476,华宝中证智能电动汽车ETF发起式联接C,HBZZZNDDQCETFFQSLJC,2021-12-03,1.0350,1.0350,0.06,1.48,3.50,,,,,,,3.50,2021-11-02,1,,,0.00%,,,,
013475,华宝中证智能电动汽车ETF发起式联接A,HBZZZNDDQCETFFQSLJA,2021-12-03,1.0352,1.0352,0.06,1.48,3.52,,,,,,,3.52,2021-11-02,1,,1.00%,0.10%,1,0.10%,1,
013474,华宝中证新材料ETF发起式联接C,HBZZXCLETFFQSLJC,2021-12-03,1.0116,1.0116,0.37,-0.09,0.52,,,,,,,1.16,2021-10-14,1,0,,0.00%,,,,
013473,华宝中证新材料ETF发起式联接A,HBZZXCLETFFQSLJA,2021-12-03,1.0120,1.0120,0.37,-0.08,0.54,,,,,,,1.20,2021-10-14,1,0,1.00%,0.10%,1,0.10%,1,
013467,华夏安盈稳健养老目标一年持有混合(FOF),HXAYWJYLMBYNCYHHFOF,2021-12-01,1.0102,1.0102,0.04,0.16,0.79,,,,,,,1.02,2021-10-15,3,0,0.80%,0.08%,1,0.08%,1,
013453,交银国证新能源指数(LOF)C,JYGZXNYZSLOFC,2021-12-03,1.6902,1.6902,-0.16,-0.04,1.28,,,,,,,12.58,2021-09-29,1,6.607607,,0.00%,,,,
013448,华宝中证智能制造主题ETF发起式联接C,HBZZZNZZZTETFFQSLJC,2021-12-03,1.0580,1.0580,0.90,1.82,4.28,,,,,,,5.80,2021-10-21,1,,,0.00%,,,,
013447,华宝中证智能制造主题ETF发起式联接A,HBZZZNZZZTETFFQSLJA,2021-12-03,1.0584,1.0584,0.91,1.83,4.31,,,,,,,5.84,2021-10-21,1,,1.00%,0.10%,1,0.10%,1,
013446,东财芯片C,DCXPC,2021-12-03,1.0878,1.0878,2.15,3.14,5.97,,,,,,,8.78,2021-09-16,1,-0.23,,0.00%,,,,
013445,东财芯片A,DCXPA,2021-12-03,1.0887,1.0887,2.15,3.15,6.01,,,,,,,8.87,2021-09-16,1,-0.2,1.20%,0.12%,1,0.12%,1,
013444,建信上证50ETF发起联接E,JXSZ50ETFFQLJE,2021-12-03,1.4307,1.4517,0.88,1.04,1.30,,,,,,,0.73,2021-09-06,1,2.421761,,0.00%,,,,
013443,建信创业板ETF联接E,JXCYBETFLJE,2021-12-03,2.1334,2.1334,0.31,0.18,4.05,,,,,,,6.97,2021-09-06,1,1.479142,,0.00%,,,,
013442,建信中证1000指数增强E,JXZZ1000ZSZQE,2021-12-03,2.1030,2.2041,0.61,1.22,8.88,,,,,,,3.91,2021-09-06,1,-3.005362,,0.00%,,,,
013438,财通资管中证有色金属指数发起式C,CTZGZZYSJSZSFQSC,2021-12-03,0.9466,0.9466,0.65,0.29,8.10,-4.61,,,,,,-5.34,2021-09-01,1,-7.74,,0.00%,,,,
013437,财通资管中证有色金属指数发起式A,CTZGZZYSJSZSFQSA,2021-12-03,0.9468,0.9468,0.65,0.29,8.11,-4.59,,,,,,-5.32,2021-09-01,1,-7.73,1.00%,0.10%,1,0.10%,1,
013430,交银趋势混合C,JYQSHHC,2021-12-03,4.6979,4.6979,0.76,1.14,5.33,7.71,,,,,,7.54,2021-08-27,1,-3.305407,,0.00%,,,,
013429,东兴鑫享6个月滚动持有债券发起C,DXXX6GYGDCYZQFQC,2021-12-03,1.0069,1.0069,0.01,0.06,,,,,,,,0.69,2021-11-17,3,,,0.00%,,,,
013428,东兴鑫享6个月滚动持有债券发起A,DXXX6GYGDCYZQFQA,2021-12-03,1.0070,1.0070,0.01,0.06,,,,,,,,0.70,2021-11-17,3,,0.60%,0.06%,1,0.06%,1,
013427,贝莱德中国新视野混合C,BLDZGXSYHHC,2021-12-03,1.0036,1.0036,0.28,0.11,0.62,,,,,,,0.36,2021-09-07,1,0.05,,0.00%,,,,
013426,贝莱德中国新视野混合A,BLDZGXSYHHA,2021-12-03,1.0048,1.0048,0.28,0.12,0.67,,,,,,,0.48,2021-09-07,1,0.1,1.50%,0.15%,1,0.15%,1,
013416,永赢中证全指医疗器械ETF发起联接C,YYZZQZYLQXETFFQLJC,2021-12-03,0.9943,0.9943,0.70,-1.65,,,,,,,,-0.56,2021-11-22,1,,,0.00%,,,,
013415,永赢中证全指医疗器械ETF发起联接A,YYZZQZYLQXETFFQLJA,2021-12-03,0.9944,0.9944,0.70,-1.65,,,,,,,,-0.55,2021-11-22,1,,1.00%,0.10%,1,0.10%,1,
013413,交银中证环境治理(LOF)C,JYZZHJZLLOFC,2021-12-03,0.5847,0.5847,1.07,1.21,12.94,5.87,,,,,,11.54,2021-08-27,1,-0.038153,,0.00%,,,,
013412,嘉实方舟6个月滚动持有债券发起C,JSFZ6GYGDCYZQFQC,2021-12-03,1.0130,1.0130,0.07,0.34,0.87,,,,,,,1.30,2021-09-24,3,0.1,,0.00%,,,,
013411,嘉实方舟6个月滚动持有债券发起A,JSFZ6GYGDCYZQFQA,2021-12-03,1.0135,1.0135,0.07,0.35,0.89,,,,,,,1.35,2021-09-24,3,0.12,0.80%,0.08%,1,0.08%,1,
013403,华夏恒生科技ETF发起式联接(QDII)C,HXHSKJETFFQSLJQDIIC,2021-12-03,0.9492,0.9492,-1.35,-3.45,-5.29,,,,,,,-5.08,2021-09-28,1,1.84,,0.00%,,,,
013402,华夏恒生科技ETF发起式联接(QDII)A,HXHSKJETFFQSLJQDIIA,2021-12-03,0.9497,0.9497,-1.35,-3.45,-5.27,,,,,,,-5.03,2021-09-28,1,1.85,1.20%,0.12%,1,0.12%,1,
013396,华夏新能源车龙头混合发起式C,HXXNYCLTHHFQSC,2021-12-03,1.1402,1.1402,0.05,1.58,7.26,,,,,,,14.02,2021-09-15,1,6.74,,0.00%,,,,
