代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
970026,申万宏源灵通快利短债债券,SWHYLTKLDZZQ,2021-12-03,1.0142,1.0142,0,0.05,0.21,0.61,1.36,,,,,1.41,2021-05-18,1,1.049895,,0.00%,,,,
970022,信达丰睿六个月持有,XDFRLGYCY,2021-12-03,1.0277,1.2007,0.03,0.13,0.74,1.48,4.59,,,,,4.24,2021-05-12,1,2.982047,0.80%,0.008%,0.1,0.008%,0.10,
970021,信达价值精选B,XDJZJXB,2021-12-03,1.2140,1.2140,0.41,0.24,3.89,2.56,7.96,,,,,8.81,2021-03-01,1,7.33172,1.50%,0.15%,1,0.15%,1,
970019,方正证券金港湾六个月持有债券C,FZZQJGWLGYCYZQC,2021-12-03,1.0280,1.0280,0.01,0.07,0.38,0.66,1.68,,,,,2.80,2021-01-18,1,2.08,0.50%,0.50%,99,0.50%,99,
970017,中信建投价值增长C,ZXJTJZZZC,2021-12-03,1.8515,1.8515,0.67,0.33,1.08,0.08,-9.74,,,,-9.98,-2.51,2020-12-07,1,-3.559581,,0.00%,,,,
970016,中信建投价值增长A,ZXJTJZZZA,2021-12-03,1.8650,2.2650,0.67,0.35,1.14,0.27,-9.37,,,,-9.33,-1.80,2020-12-07,1,-2.959297,1.00%,1.00%,99,1.00%,99,
970015,申万红利成长灵活配置混合,SWHLCZLHPZHH,2021-12-03,1.1510,1.8688,0.91,2.39,7.80,8.45,11.41,,,,,7.33,2021-01-19,1,-1.230884,1.00%,0.10%,1,0.10%,1,
970014,平安安赢添利半年滚动持有D,PAAYTLBNGDCYD,2021-12-03,1,1,0,0,0,0,0,,,,,0,2021-05-12,1,0,,0.00%,,,,
970013,平安安赢添利半年滚动持有C,PAAYTLBNGDCYC,2021-12-03,1.0264,1.0264,0.04,0.04,0.55,1.22,2.54,,,,,2.64,2021-05-12,1,1.16,,0.00%,,,,
970012,平安安赢添利半年滚动持有B,PAAYTLBNGDCYB,2021-12-03,1.0254,1.0254,0.04,0.04,0.53,1.17,2.44,,,,,2.54,2021-05-12,1,1.08,,0.00%,,,,
970010,方正证券金立方一年持有期混合C,FZZQJLFYNCYQHHC,2021-12-03,1.0520,1.0520,0.03,0.10,3.57,5.02,-3.82,1.23,,,-2.93,5.20,2020-09-07,1,3.4849,1.50%,1.50%,99,1.50%,99,
970008,华安证券汇赢增利一年持有混合C,HAZQHYZLYNCYHHC,2021-12-03,1.1374,1.1374,0.26,0.61,2.44,1.63,5.44,12.31,,,11.99,13.74,2020-07-15,1,10.1576,1.50%,0.15%,1,0.15%,1,
970007,华安证券汇赢增利一年持有混合B,HAZQHYZLYNCYHHB,2021-12-03,1.1250,1.1250,0.27,0.59,2.38,1.42,5.02,11.42,,,11.17,12.50,2020-07-15,1,9.2785,,0.00%,,,,
970005,安信瑞鸿中短债C,AXRHZDZC,2021-12-03,1.0718,1.0718,0,0.05,0.32,0.87,1.86,4.54,,,3.98,4.76,2020-05-14,1,3.6162,,0.00%,,,,
970004,安信瑞鸿中短债B,AXRHZDZB,2021-12-03,1.0767,1.0767,0.01,0.06,0.34,0.94,2.01,4.84,,,4.26,5.24,2020-05-14,1,3.9224,0.30%,0.03%,1,0.03%,1,
959991,兴证资管金麒麟领先优势一年持有混合A,XZZGJQLLXYSYNCYHHA,2021-12-03,1.6558,1.6558,1.14,1.62,7.76,9.16,2.13,14.95,,,6.09,57.22,2020-04-13,1,13.4734,1.20%,0.12%,1,0.12%,1,
